slug,name,url
mincerafter42,"Viatrix: Internet Rando Extraordinaire",https://mincerafter42.github.io/cuddle/
munvoseli,"munvoseli",https://munvoseli.github.io/
acebit,"Ace's Tea Shop",https://acebit.neocities.org/
tsylatac,"Tsymes Square",https://tsylatac.neocities.org/
seirdy,"Seirdy’s Home",https://seirdy.one/
0,"Yaya",https://mysweetpiano.neocities.org
wmmy,"Rory",https://p3p.neocities.org/
delovely,"delovely",https://delovely.neocities.org/
paintkiller,"PAINTKILLER",https://paintkiller.neocities.org/
valycenega,"Valyce Negative",https://www.valycenegative.it
bechnokid,"Bechno Kid's Hideout",https://bechnokid.neocities.org/
artemislena,"Artemis' Blog",https://artemislena.eu/webring.html
foreverliketh.is,"foreverliketh.is",https://foreverliketh.is/
butchdyke,"AJ / Butch Dyke @ Neocities",https://butchdyke.neocities.org
pumpkinpatch,"dotmidi",https://dotmidi.neocities.org/
lovelyqats,"ani!",https://lovelyqats.neocities.org/
shroomink,"Shroom.Ink",https://shroom.ink/
caligula9997,"callie's cool website",https://caligula9997.neocities.org/
whey_isolate,"Whey's Lounge",https://whey-isolate.neocities.org/
nucleus,"nucleus",https://nucleus.neocities.org
sanguineroyal,"Krishna",http://sanguineroyal.com
himaonline,"himaonline's wonderland!",https://himaonline.moe
the-arcade,"The Arcade",https://articexploit.xyz/
alissocool,"alis' room!",https://alissocool.neocities.org/
sodagirl,"layla",https://sodagirl.neocities.org/
shinto,"The Absolute Realm",https://theabsoluterealm.com/
darylsun,"Daryl Sun",https://blog.darylsun.page/
rinn,"TANDEN RENKI",https://tandenrenki.net
aesistril,"Aesistril's hut",https://aesistril.com
Astral,"Astral's cuddle page!!",https://astralvrz.github.io/Cuddles/
